date,ticker,F_debt,stock_price,shares,Tbill
2018-05-31,LMT,7506.5,314.54001,285.529,2.27
2018-06-29,LMT,7506.5,295.42999,285.529,2.33
2018-07-31,LMT,7506.5,326.10001,284.781,2.39
2018-08-31,LMT,7506.5,320.41,284.781,2.45
2018-09-28,LMT,7506.5,345.95999,284.781,2.56
2018-10-31,LMT,7506.5,293.85001,284.426,2.65
2018-11-30,LMT,7506.5,300.42999,284.426,2.7
2018-12-31,LMT,7506.5,261.84,284.426,2.66
2019-01-31,LMT,7506.5,289.69,284.426,2.58
2019-02-28,LMT,7506.5,309.41,282.563,2.55
2019-03-29,LMT,7506.5,300.16,282.808,2.49
2019-04-30,LMT,7802,333.32999,282.808,2.42
2019-05-31,LMT,7802,338.54001,282.808,2.34
2019-06-28,LMT,7802,363.54001,282.808,2
2019-07-31,LMT,7802,362.17001,282.398,1.96
2019-08-30,LMT,7802,384.10999,282.398,1.77
2019-09-30,LMT,7802,390.06,282.398,1.8
2019-10-31,LMT,7802,376.67999,282.071,1.61
2019-11-29,LMT,7802,391.03,282.071,1.57
2019-12-31,LMT,7802,389.38,282.071,1.55
2020-01-31,LMT,7802,428.12,282.071,1.53
2020-02-28,LMT,7802,369.87,281.937,1.41
2020-03-31,LMT,7624.5,338.95001,281.868,0.33
2020-04-30,LMT,7624.5,389.06,280.435,0.18
2020-05-29,LMT,7624.5,388.44,280.435,0.16
2020-06-30,LMT,7624.5,364.92001,280.435,0.18
2020-07-31,LMT,7624.5,378.97,279.542,0.15
2020-08-31,LMT,7624.5,390.26001,279.542,0.13
2020-09-30,LMT,7624.5,383.28,279.542,0.13
2020-10-30,LMT,7624.5,350.13,279.784,0.13
2020-11-30,LMT,7624.5,365,279.784,0.12
2020-12-31,LMT,7624.5,354.98001,279.784,0.1
2021-01-29,LMT,7624.5,321.82001,280.103,0.1
2021-02-26,LMT,7624.5,330.25,280.103,0.07
2021-03-31,LMT,7029,369.5,278.712,0.08
2021-04-30,LMT,7029,380.56,277.934,0.06
2021-05-28,LMT,7029,382.20001,277.934,0.05
2021-06-30,LMT,7029,378.35001,277.934,0.07
2021-07-30,LMT,7029,371.67001,276.916,0.08
2021-08-31,LMT,7029,359.79999,276.916,0.07
2021-09-30,LMT,7029,345.10001,276.916,0.08
2021-10-29,LMT,7029,332.32001,275.786,0.11
